Team,mu,sigma,Score,Rank
1058,28.531770880927848,1.1101409331490466,25.20134808148071,375.0
1712,28.450329310853448,1.0856098179789053,25.19349985691673,376.0
5404,28.61209320476658,1.1405915540879064,25.19031854250286,377.0
237,28.465205388863605,1.0991745518219007,25.167681733397902,378.0
6429,30.84908404603674,1.8940173101137758,25.167032115695413,379.0
401,28.44501981070698,1.0932663577541462,25.165220737444542,380.0
599,28.568455712812728,1.139048039648209,25.1513115938681,381.0
190,28.46257832183358,1.1055607442825552,25.145896088985914,382.0
3132,28.68280379179996,1.1815437558330906,25.138172524300685,383.0
69,28.499376494266777,1.12040284250648,25.138167966747336,384.0
4061,28.46885258029897,1.1218507380875948,25.103300366036187,385.0
2165,29.11582792471815,1.3403540068265505,25.0947659042385,386.0
5584,30.393710751734176,1.7671282044250969,25.092326138458887,387.0
1559,28.47655328685427,1.1301725365130812,25.086035677315024,388.0
4338,28.77314499834916,1.2322208900754954,25.076482328122673,389.0
2534,28.342398139299757,1.0888200738990075,25.075937917602733,390.0
172,28.46897759242785,1.1334156758815286,25.068730564783266,391.0
2485,28.511350440258592,1.1490536728783523,25.064189421623535,392.0
3534,28.44190816911111,1.128140330698473,25.05748717701569,393.0
5587,28.676238805239425,1.2065441570662407,25.0566063340407,394.0
3970,28.773066847980242,1.238955042215316,25.056201721334293,395.0
115,28.475064123511892,1.1422609882799433,25.04828115867206,396.0
2231,28.478534556991654,1.1459078954372552,25.040810870679888,397.0
1391,28.29092239999197,1.0846166517285072,25.037072444806448,398.0
1251,28.450339983010302,1.141494807554859,25.025855560345725,399.0
1706,28.479405657558754,1.1528586918147097,25.020829582114626,400.0
2996,28.38717790215911,1.1263219578964616,25.008212028469725,401.0
1071,28.363523701022682,1.1213655157462787,24.999427153783845,402.0
772,28.425860351462703,1.1431215653344933,24.996495655459224,403.0
3546,28.342666530122955,1.1159055463335041,24.99494989112244,404.0
141,28.297364621172463,1.1014763895710198,24.992935452459403,405.0
